Celllines,0.004321374,0.041392685,0.096910013,0.204119983,0.33243846,0.397940009,0.499687083,0.612783857,0.733999287,0.86569606,1.003460532,1.155336037,1.336059278,1.558708571,1.86332286,2.004321374
MII,0.001055548,0.006123699,0.00923361,0.012997563,0.015060241,0.019971469,0.035714286,0.040662651,0.041726619,0.034867503,0.032258065,0.038510911,0.037086093,0.037641154,0.044063647,0.03965702
zygote,0.00861244,0.028191073,0.058078928,0.086573734,0.104147465,0.110447761,0.109333333,0.108069164,0.138339921,0.119402985,0.11281337,0.135897436,0.119346734,0.121173469,0.108465608,0.097320169
early,0.015137863,0.060644082,0.08375,0.120851597,0.167716535,0.197619048,0.191349934,0.180124224,0.190954774,0.174661747,0.195849546,0.17565872,0.153543307,0.17852349,0.169565217,0.204402516
2cell,0.018781643,0.058222676,0.100224383,0.128895184,0.163607342,0.186813187,0.212121212,0.239759036,0.261961722,0.264339152,0.24725944,0.2925,0.253697383,0.282051282,0.272475795,0.24537037
4cell,0.01764379,0.077478661,0.096826688,0.146837349,0.197048611,0.236292428,0.270710059,0.278014184,0.295104895,0.298022599,0.288242731,0.323651452,0.292682927,0.312182741,0.322541966,0.276756757
8cell,0.012825934,0.060526316,0.091194969,0.111940299,0.174603175,0.209677419,0.230654762,0.218523878,0.235474006,0.251819505,0.240611961,0.253968254,0.252021563,0.276923077,0.264441592,0.246808511
ICM,0.030006523,0.072210953,0.122743682,0.158445441,0.297346752,0.321428571,0.327372765,0.361809045,0.374837873,0.384615385,0.375,0.401360544,0.362318841,0.357506361,0.337363966,0.295336788
mESC,0.008298191,0.026548673,0.038961039,0.052014652,0.071653543,0.090375587,0.110849057,0.131764706,0.1446863,0.159517426,0.14676259,0.159332322,0.158238173,0.145557656,0.140035907,0.095035461
