stage	type	logexpr
early	now	4.14023051324
early	before	4.20845567944
early	now	0.923572157832
early	before	0.924219218196
early	now	1.60238711387
early	before	1.34598265305
early	now	1.41696904539
early	before	1.88989293254
early	now	1.06302310685
early	before	1.00185539621
early	now	1.04548925115
early	before	1.03370036449
early	now	2.97209510379
early	before	3.18484323012
early	now	0.981062975696
early	before	0.967637624825
early	now	2.34338436726
early	before	2.26430154057
early	now	0.725522401318
early	before	0.899079464104
early	now	1.29522019672
early	before	1.07583484098
early	now	1.09540046963
early	before	1.1574942164
early	now	0.932160144015
early	before	1.36762619008
early	now	0.774091020553
early	before	0.72099578338
early	now	3.4728263312
early	before	3.47613477166
early	now	2.3911013371
early	before	2.87814734327
early	now	1.5940765282
early	before	2.06181077918
early	now	0.994865285414
early	before	1.25661269165
early	now	1.47226790808
early	before	2.02193556745
early	now	0.915294235537
early	before	0.730110540114
early	now	0.946493986606
early	before	1.50427737678
early	now	1.1599707588
early	before	1.07554834907
early	now	1.18979882642
early	before	1.38110843743
early	now	0.925278223108
early	before	1.33030056297
early	now	3.83653839383
early	before	4.15241533751
early	now	0.89018492119
early	before	1.23957640669
early	now	2.13639708772
early	before	1.89338602232
early	now	1.7267621762
early	before	1.43006001881
early	now	2.00715037967
early	before	1.81964535188
early	now	0.950777179132
early	before	0.824815588906
early	now	0.843401708808
early	before	0.891969350369
early	now	1.78280785616
early	before	1.28893508335
early	now	0.791588815872
early	before	1.12025309476
early	now	0.885988213144
early	before	0.801171644754
early	now	1.5354188594
early	before	1.40155236351
early	now	1.11673376506
early	before	1.0354310682
early	now	2.39993863825
early	before	2.4682351155
early	now	1.62752534413
early	before	1.27647670493
early	now	0.774782465563
early	before	0.714522100568
early	now	0.82378940355
early	before	0.738096645343
early	now	0.728692879884
early	before	0.841493907131
early	now	1.25550207087
early	before	0.895197832535
early	now	0.740169115667
early	before	0.947599458415
early	now	1.35441146025
early	before	1.88492948172
early	now	1.62865997908
early	before	2.24856703718
early	now	0.713346787873
early	before	0.757740387702
early	now	0.81620074698
early	before	0.749470801613
early	now	1.13289776663
early	before	1.25783010883
early	now	1.15762934453
early	before	1.2788427718
early	now	1.09916546897
early	before	1.69868246071
early	now	1.68848751175
early	before	1.99872485693
early	now	1.48486512852
early	before	1.25813423168
early	now	2.25838866146
early	before	2.00694745881
early	now	0.76147383017
early	before	0.933776952881
early	now	2.49237866463
early	before	2.83803698569
early	now	0.847386427894
early	before	1.10228221292
early	now	1.42604137806
early	before	1.03355452163
early	now	0.992603414723
early	before	0.763750088576
early	now	3.55116790824
early	before	3.77228496277
early	now	3.47433011652
early	before	3.44482503663
early	now	3.7086330606
early	before	4.0133007981
early	now	2.76282874827
early	before	2.4220999615
early	now	1.05492160004
early	before	0.927381006804
early	now	2.1263966899
early	before	2.13880890289
early	now	1.47487513097
early	before	1.69036515187
early	now	0.969414350196
early	before	1.45716746386
early	now	1.89501677469
early	before	2.61277202079
early	now	0.912720365696
early	before	0.975453579937
early	now	2.05541008548
early	before	1.65554829873
early	now	3.17774961741
early	before	2.67633935153
early	now	1.03250809807
early	before	1.42469262077
early	now	3.84125713453
early	before	4.25734454266
early	now	1.29394604068
early	before	1.51278603295
early	now	1.01967369346
early	before	0.90819000944
early	now	0.791430209793
early	before	1.2753655937
early	now	2.89743012226
early	before	1.42193173871
early	now	3.12232527612
early	before	3.26601891908
early	now	0.721856107196
early	before	0.828246093982
early	now	2.05883696791
early	before	2.04060195589
early	now	1.16582223836
early	before	1.13129565421
early	now	1.64636368654
early	before	0.829341898383
early	now	1.31943047174
early	before	1.72732583148
early	now	1.44051735973
early	before	1.49553434191
early	now	1.38809773406
early	before	1.2200036214
early	now	1.20240157058
early	before	1.11926749359
early	now	0.719852400643
early	before	0.827074744698
early	now	1.03342288909
early	before	1.36344785592
early	now	1.10040734326
early	before	0.897462589613
early	now	0.857020442535
early	before	1.03341933121
early	now	1.58145810293
early	before	1.78945514966
early	now	1.30288829536
early	before	1.57577564247
early	now	1.21030570909
early	before	1.48304214344
early	now	0.982976945069
early	before	1.11154496658
early	now	0.747474368036
early	before	0.799230934618
early	now	1.18162596326
early	before	1.09423271231
2cell	now	2.01201217942
2cell	before	1.20798673771
2cell	now	1.0453556647
2cell	before	0.707267024721
2cell	now	2.70477149869
2cell	before	1.74264975401
2cell	now	1.69019359665
2cell	before	0.696028026934
2cell	now	1.66476097638
2cell	before	1.28878075556
2cell	now	3.32996271351
2cell	before	4.25565100696
2cell	now	3.41646687399
2cell	before	1.12004756939
2cell	now	1.33821431975
2cell	before	3.1405163664
2cell	now	2.90989656883
2cell	before	0.916922532246
2cell	now	1.57480712942
2cell	before	1.70044064668
2cell	now	3.47383427231
2cell	before	3.48486121744
2cell	now	1.44276211985
2cell	before	0.959943914796
2cell	now	2.39797708763
2cell	before	2.76387587539
2cell	now	1.6572580825
2cell	before	2.28986756699
2cell	now	2.30869936269
2cell	before	1.52758990953
2cell	now	1.47579222756
2cell	before	1.50823540692
2cell	now	0.785083493452
2cell	before	2.21862831868
2cell	now	1.06713882129
2cell	before	2.32308355657
2cell	now	0.79161147183
2cell	before	0.756525654102
2cell	now	1.25718176266
2cell	before	1.36274422066
2cell	now	1.26517137905
2cell	before	2.07839599529
2cell	now	1.36155074723
2cell	before	1.14390746358
2cell	now	0.696815444246
2cell	before	1.24158067909
2cell	now	1.96450897084
2cell	before	1.31424235095
2cell	now	0.972614352927
2cell	before	1.87871820594
2cell	now	1.18625069126
2cell	before	1.77407908837
2cell	now	4.09123473171
2cell	before	3.33254730856
2cell	now	0.696317150891
2cell	before	2.03182437678
2cell	now	1.89217929978
2cell	before	2.14860956449
2cell	now	2.58132227896
2cell	before	0.775431988232
2cell	now	1.98203266114
2cell	before	1.39367952355
2cell	now	2.23740956901
2cell	before	3.49294972471
2cell	now	1.83192204638
2cell	before	1.76959224848
2cell	now	1.50242269518
2cell	before	1.85728344215
2cell	now	2.6846928633
2cell	before	3.2730457777
2cell	now	1.73000285278
2cell	before	2.6802404018
2cell	now	1.18308210529
2cell	before	0.866150456715
2cell	now	1.77508285087
2cell	before	1.95882496408
2cell	now	1.66617734963
2cell	before	0.925278223108
2cell	now	1.53148501958
2cell	before	4.19118841384
2cell	now	0.757904427775
2cell	before	1.32880824653
2cell	now	3.99163608236
2cell	before	1.56976109528
2cell	now	1.60546001106
2cell	before	1.9063106213
2cell	now	0.758302698816
2cell	before	0.975008595806
2cell	now	1.55514222062
2cell	before	2.09692039267
2cell	now	2.11191357208
2cell	before	1.74470454865
2cell	now	1.43812988348
