stage	type	logexpr	level	num
MII	Normal	1.03840570446	1.0	1
MII	Normal	0.0579522542208	1.0	1
MII	Normal	2.45522892381	0.73	1
MII	Normal	1.22128704403	0.355	2
MII	Change	1.27113600298	0.59	1
MII	Normal	3.36284109478	0.83	1
MII	Normal	0.268775208839	1.0	1
MII	Normal	1.69117456918	0.835	2
MII	Normal	3.53236890866	0.69	1
MII	Normal	1.19012131384	1.0	1
MII	Normal	2.27779330049	0.24	1
MII	Normal	1.01929848195	0.75	1
MII	Change	1.77136966958	0.25	1
MII	Change	2.61881088956	0.18	1
MII	Normal	5.88796895806	0.2	1
MII	Normal	3.27449972862	0.235	2
MII	Change	0.927681608801	0.4	1
MII	Change	1.01522705653	0.5	1
MII	Change	0.430296898005	0.5	1
MII	Normal	2.10617353673	0.27	1
MII	Normal	2.31921406211	1.0	1
MII	Normal	1.57499966504	0.67	1
MII	Normal	2.85062557337	0.695	2
MII	Normal	2.59668651725	0.67	1
MII	Normal	1.48965838511	0.5	1
MII	Normal	3.59627885009	0.91	1
MII	Normal	1.23235615872	0.29	1
MII	Normal	2.93775882178	0.67	1
MII	Normal	3.09262756005	1.0	1
MII	Normal	4.09717388923	1.0	1
MII	Normal	2.10880250882	1.0	1
MII	Normal	0.916410724675	0.29	1
MII	Normal	1.47632700282	0.33	1
MII	Normal	1.59546879707	0.71	1
MII	Normal	0.104112236882	1.0	1
MII	Normal	3.02742472029	0.67	1
MII	Change	0.53002807099	0.67	1
MII	Change	3.79987282541	0.25	1
MII	Normal	0.074040019845	0.67	1
MII	Normal	2.58660546961	0.5	1
MII	Normal	0.344934898501	0.5	1
MII	Normal	0.658586273626	0.83	1
MII	Change	1.22069716922	0.5	1
MII	Normal	2.35804345145	0.23	1
MII	Change	1.37369026214	0.67	1
MII	Normal	0.854679123146	0.43	1
MII	Normal	2.53414115967	0.45	1
MII	Change	4.04875427299	1.0	1
MII	Normal	3.44228174176	0.25	1
MII	Normal	4.45946788457	0.73	1
MII	Normal	1.35832946294	0.67	1
MII	Normal	1.70775447762	1.0	1
