stage	type	level	num
zygote	down	2.58	3
zygote	down	1.1	2
zygote	down	0.79	1
zygote	up	0.47	1
zygote	up	1.5	2
zygote	down	1.0	1
zygote	down	0.67	1
zygote	down	0.82	1
zygote	down	0.75	1
zygote	down	0.88	1
zygote	down	0.22	1
zygote	up	0.5	2
zygote	up	0.76	1
zygote	down	0.85	1
zygote	up	0.59	2
zygote	down	1.0	1
zygote	up	0.33	1
zygote	down	1.0	1
zygote	up	0.22	1
zygote	down	0.83	1
zygote	down	2.52	4
zygote	down	0.67	1
zygote	up	0.33	1
zygote	down	0.5	1
zygote	down	1.0	1
zygote	up	1.0	1
zygote	down	0.5	1
zygote	up	1.7	2
zygote	down	0.5	1
zygote	down	0.42	1
zygote	up	2.0	2
zygote	up	1.0	1
zygote	down	0.71	1
zygote	down	0.71	1
zygote	down	0.45	1
zygote	down	0.33	1
zygote	up	1.0	1
zygote	up	1.0	1
zygote	up	0.67	1
zygote	up	0.84	1
zygote	up	1.0	1
zygote	up	0.5	2
zygote	down	1.26	2
zygote	up	1.5	2
zygote	down	1.0	1
zygote	down	0.49	1
zygote	down	0.67	1
zygote	up	0.44	1
zygote	up	1.67	2
zygote	up	1.0	1
zygote	down	1.33	4
zygote	down	1.0	1
zygote	up	0.5	1
zygote	down	0.25	1
zygote	up	0.57	1
zygote	up	0.5	1
zygote	up	0.18	1
zygote	up	1.0	1
zygote	up	1.0	1
zygote	down	0.67	1
zygote	down	1.0	1
zygote	down	0.5	1
zygote	up	0.5	1
zygote	down	0.79	1
zygote	up	1.0	1
zygote	down	1.0	1
zygote	up	0.67	1
zygote	up	1.0	1
zygote	up	0.83	1
zygote	up	1.0	1
zygote	up	1.0	1
zygote	down	1.0	1
zygote	down	1.55	2
zygote	up	1.0	1
zygote	down	1.0	1
zygote	up	0.84	1
zygote	down	0.86	1
zygote	down	1.0	1
zygote	up	1.25	2
zygote	down	0.71	1
zygote	up	0.33	1
zygote	down	0.84	1
zygote	down	1.0	1
zygote	down	0.88	2
zygote	down	0.5	1
zygote	down	0.5	1
zygote	up	3.0	3
zygote	down	1.8	2
zygote	down	2.03	3
zygote	up	0.67	1
zygote	down	1.43	3
zygote	down	0.29	1
zygote	up	0.67	1
zygote	up	0.33	1
zygote	down	0.2	1
zygote	down	0.36	2
zygote	up	0.5	1
zygote	up	0.67	1
zygote	down	1.0	1
zygote	down	0.42	1
zygote	up	1.15	2
zygote	up	0.46	1
zygote	up	1.0	1
zygote	down	1.0	1
zygote	up	2.0	2
zygote	down	0.27	1
zygote	down	6.39	9
zygote	down	0.22	1
zygote	down	3.0	3
zygote	up	0.35	1
zygote	up	0.67	1
zygote	down	0.33	1
zygote	up	0.78	1
zygote	down	0.67	1
zygote	up	1.0	1
zygote	down	0.29	1
zygote	down	1.0	1
zygote	down	1.0	1
zygote	down	0.2	1
zygote	down	0.83	1
zygote	up	0.79	2
zygote	down	1.0	2
zygote	down	0.82	1
zygote	down	1.5	2
zygote	down	1.5	2
zygote	down	1.0	1
zygote	up	0.22	1
zygote	down	0.5	1
zygote	up	0.85	1
zygote	down	1.84	3
zygote	down	1.0	1
zygote	down	2.0	2
zygote	down	1.0	1
zygote	up	2.0	3
zygote	down	0.36	1
zygote	down	1.0	1
zygote	up	0.4	1
zygote	up	1.27	2
zygote	up	2.0	2
zygote	down	1.0	1
zygote	up	0.33	1
zygote	up	1.0	1
zygote	up	0.84	2
zygote	up	0.75	1
zygote	up	0.5	1
zygote	up	0.79	1
zygote	down	0.78	1
zygote	up	0.83	1
zygote	down	1.35	2
zygote	down	0.98	2
zygote	down	1.0	1
zygote	down	0.8	1
zygote	up	0.5	1
zygote	down	0.33	1
zygote	up	0.5	1
zygote	down	1.0	1
