stage	type	level
early	Normal	0.6
early	Normal	1.0
early	Change	0.29
early	Change	1.0
early	Normal	0.19
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	0.79
early	Normal	1.0
early	Change	0.5
early	Normal	0.5
early	Normal	0.83
early	Normal	0.86
early	Normal	1.0
early	Normal	0.29
early	Normal	0.67
early	Normal	1.0
early	Normal	0.67
early	Normal	1.0
early	Normal	1.0
early	Normal	0.5
early	Change	1.0
early	Normal	1.0
early	Normal	0.52
early	Change	0.5
early	Change	0.75
early	Normal	1.0
early	Change	0.67
early	Change	0.83
early	Normal	1.0
early	Change	0.22
early	Normal	0.56
early	Normal	1.0
early	Normal	1.0
early	Change	0.4
early	Normal	1.0
early	Normal	0.84
early	Normal	1.0
early	Normal	1.0
early	Normal	0.37
early	Normal	0.33
early	Normal	1.0
early	Normal	0.14
early	Normal	1.0
early	Normal	1.0
early	Normal	0.67
early	Normal	0.75
early	Normal	0.91
early	Normal	0.39
early	Normal	0.33
early	Normal	0.75
early	Normal	0.67
early	Normal	0.2
early	Normal	0.87
early	Normal	0.67
early	Normal	0.43
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Change	0.22
early	Normal	0.58
early	Normal	0.75
early	Normal	1.0
early	Change	0.67
early	Normal	0.46
early	Normal	1.0
early	Normal	0.41
early	Normal	0.5
early	Normal	0.67
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	0.32
early	Normal	0.51
early	Normal	0.32
early	Normal	0.29
early	Normal	0.32
early	Normal	0.58
early	Normal	0.24
early	Normal	0.41
early	Change	0.22
early	Change	0.5
early	Normal	1.0
early	Normal	1.0
early	Normal	0.33
early	Normal	1.0
early	Normal	1.0
early	Normal	0.5
early	Change	0.58
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	0.35
early	Normal	1.0
early	Normal	0.82
early	Normal	0.67
early	Normal	0.25
early	Normal	0.8
early	Normal	0.87
early	Change	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	0.86
early	Normal	0.83
early	Normal	0.68
early	Normal	0.27
early	Normal	0.85
early	Normal	0.75
early	Normal	0.36
early	Normal	0.5
early	Normal	0.67
early	Normal	0.75
early	Normal	1.0
early	Normal	1.0
early	Change	0.67
early	Change	0.37
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	0.21
early	Normal	0.25
early	Normal	0.5
early	Normal	0.33
early	Normal	0.79
early	Normal	0.55
early	Change	0.33
early	Normal	1.0
early	Normal	0.74
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	0.74
early	Normal	0.63
early	Normal	1.0
early	Normal	0.4
early	Normal	1.0
early	Normal	1.0
early	Normal	0.81
early	Normal	0.67
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Change	0.33
early	Normal	1.0
early	Normal	0.46
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	0.83
early	Normal	0.7
early	Normal	1.0
early	Normal	0.4
early	Normal	0.5
early	Normal	1.0
early	Normal	1.0
early	Normal	0.82
early	Normal	0.83
early	Normal	0.4
early	Normal	0.8
early	Normal	0.5
early	Normal	0.17
early	Normal	1.0
early	Normal	0.75
early	Normal	0.5
early	Normal	1.0
early	Normal	0.83
early	Normal	1.0
early	Normal	0.57
early	Normal	1.0
early	Normal	0.4
early	Normal	1.0
early	Change	0.24
early	Normal	1.0
early	Normal	0.11
early	Normal	0.83
early	Normal	1.0
early	Normal	0.83
early	Normal	0.68
early	Normal	0.26
early	Normal	0.7
early	Normal	0.5
early	Normal	0.93
early	Change	1.0
early	Normal	1.0
early	Normal	0.35
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	0.5
early	Normal	0.87
early	Normal	1.0
early	Normal	1.0
early	Normal	0.85
early	Normal	1.0
early	Normal	0.7
early	Normal	0.83
early	Normal	1.0
early	Normal	0.67
early	Normal	0.68
early	Normal	1.0
early	Normal	0.67
early	Normal	1.0
early	Normal	1.0
early	Normal	0.39
early	Normal	0.67
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	0.88
early	Normal	0.82
early	Normal	0.78
early	Normal	1.0
early	Normal	0.39
early	Normal	1.0
early	Normal	0.75
early	Normal	1.0
early	Normal	0.85
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	0.45
early	Normal	1.0
early	Normal	0.67
early	Normal	0.7
early	Normal	0.82
early	Normal	0.83
early	Normal	1.0
early	Change	0.5
early	Normal	0.55
early	Normal	0.8
early	Normal	0.5
early	Normal	1.0
early	Normal	0.85
early	Normal	1.0
early	Normal	0.5
early	Normal	0.3
early	Normal	0.89
early	Change	0.4
early	Normal	1.0
early	Normal	0.53
early	Normal	1.0
early	Normal	0.5
early	Normal	1.0
early	Normal	0.84
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	0.62
early	Normal	1.0
early	Normal	0.79
early	Normal	1.0
early	Change	0.5
early	Normal	1.0
early	Normal	0.7
early	Normal	0.67
early	Normal	0.83
early	Normal	1.0
early	Normal	1.0
early	Normal	0.5
early	Normal	0.15
early	Normal	0.55
early	Change	0.33
early	Normal	0.85
early	Normal	0.5
early	Normal	0.3
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Change	0.33
early	Change	1.0
early	Normal	1.0
early	Normal	0.29
early	Normal	1.0
early	Normal	0.67
early	Normal	1.0
early	Normal	1.0
early	Normal	0.5
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	0.83
early	Normal	0.67
early	Normal	1.0
early	Change	0.5
early	Normal	0.34
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	0.25
early	Normal	1.0
early	Normal	0.67
early	Normal	0.64
early	Normal	0.67
early	Normal	0.79
early	Normal	1.0
early	Normal	0.5
early	Normal	0.62
early	Normal	0.83
early	Normal	1.0
early	Normal	1.0
early	Change	1.0
early	Normal	1.0
early	Normal	0.5
early	Normal	0.7
early	Normal	0.7
early	Normal	0.31
early	Normal	0.84
early	Normal	0.7
early	Normal	0.8
early	Normal	0.67
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	0.84
early	Change	0.33
early	Normal	0.2
early	Normal	1.0
early	Normal	1.0
early	Normal	0.88
early	Normal	1.0
early	Normal	0.8
early	Normal	0.4
early	Normal	0.67
early	Normal	1.0
early	Normal	0.67
early	Normal	1.0
early	Normal	0.83
early	Normal	0.22
early	Normal	1.0
early	Normal	1.0
early	Normal	0.67
early	Normal	0.91
early	Normal	0.5
early	Normal	1.0
early	Normal	0.67
early	Normal	1.0
early	Normal	0.88
early	Normal	1.0
early	Normal	0.5
early	Normal	0.84
early	Normal	0.58
early	Normal	0.7
early	Normal	1.0
early	Normal	1.0
early	Normal	0.5
early	Normal	0.67
early	Normal	0.7
early	Normal	0.29
early	Normal	1.0
early	Normal	1.0
early	Normal	0.67
early	Normal	0.33
early	Change	0.5
early	Normal	0.75
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	0.67
early	Normal	1.0
early	Normal	1.0
early	Normal	0.5
early	Normal	1.0
early	Normal	0.55
early	Normal	0.2
early	Normal	0.5
early	Normal	0.5
early	Normal	0.82
early	Normal	0.75
early	Normal	0.41
early	Normal	0.58
early	Change	1.0
early	Normal	1.0
early	Normal	0.22
early	Normal	0.89
early	Normal	0.75
early	Normal	0.15
early	Normal	0.39
early	Normal	0.41
early	Normal	1.0
early	Normal	0.78
early	Normal	0.5
early	Normal	0.84
early	Normal	0.75
early	Normal	0.29
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	0.26
early	Normal	0.29
early	Normal	1.0
early	Normal	0.86
early	Normal	1.0
early	Normal	1.0
early	Normal	0.33
early	Normal	1.0
early	Normal	0.67
early	Normal	1.0
early	Normal	0.83
early	Normal	1.0
early	Normal	1.0
early	Change	0.75
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	0.82
early	Normal	1.0
early	Normal	0.75
early	Normal	1.0
early	Normal	0.67
early	Normal	1.0
early	Normal	0.6
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Change	1.0
early	Normal	0.56
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	0.23
early	Normal	1.0
early	Normal	0.65
early	Normal	0.56
early	Normal	0.62
early	Normal	1.0
early	Normal	0.67
early	Normal	1.0
early	Normal	0.88
early	Normal	0.33
early	Normal	1.0
early	Change	0.25
early	Normal	0.67
early	Normal	0.86
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	0.79
early	Normal	0.81
early	Change	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	0.8
early	Normal	1.0
early	Normal	0.53
early	Normal	0.22
early	Normal	0.85
early	Normal	0.5
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	0.23
early	Normal	0.21
early	Normal	0.19
early	Normal	0.45
early	Normal	0.5
early	Normal	0.75
early	Normal	1.0
early	Normal	1.0
early	Normal	0.73
early	Normal	0.25
early	Normal	1.0
early	Normal	0.4
early	Normal	0.41
early	Normal	1.0
early	Normal	0.23
early	Normal	0.67
early	Normal	0.97
early	Normal	1.0
early	Normal	0.82
early	Normal	1.0
early	Normal	0.28
early	Normal	0.75
early	Normal	1.0
early	Normal	0.6
early	Normal	1.0
early	Normal	1.0
early	Normal	0.24
early	Normal	1.0
early	Normal	0.67
early	Change	0.83
early	Normal	1.0
early	Normal	1.0
early	Normal	0.67
early	Normal	0.75
early	Normal	1.0
early	Normal	0.75
early	Normal	1.0
early	Normal	0.5
early	Normal	0.9
early	Normal	0.75
early	Normal	0.75
early	Normal	1.0
early	Normal	0.49
early	Normal	0.41
early	Normal	0.75
early	Normal	0.94
early	Normal	0.4
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	0.8
early	Normal	1.0
early	Normal	1.0
early	Normal	0.5
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	0.25
early	Normal	1.0
early	Normal	1.0
early	Normal	0.9
early	Normal	1.0
early	Normal	0.53
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	0.83
early	Normal	0.67
early	Normal	0.67
early	Normal	0.5
early	Normal	1.0
early	Normal	0.83
early	Normal	0.5
early	Normal	0.13
early	Normal	0.67
early	Normal	0.74
early	Normal	0.25
early	Normal	0.14
early	Normal	1.0
early	Normal	0.33
early	Change	0.5
early	Normal	0.35
early	Normal	0.77
early	Normal	1.0
early	Normal	0.15
early	Normal	0.33
early	Normal	1.0
early	Normal	0.38
early	Normal	1.0
early	Normal	0.58
early	Normal	0.71
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	0.5
early	Change	0.18
early	Normal	1.0
early	Normal	0.78
early	Normal	1.0
early	Normal	0.67
early	Normal	1.0
early	Normal	0.33
early	Normal	0.2
early	Normal	0.67
early	Normal	0.67
early	Normal	0.85
early	Normal	1.0
early	Normal	1.0
early	Normal	0.6
early	Normal	0.67
early	Normal	0.5
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	0.5
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	0.67
early	Normal	1.0
early	Normal	1.0
early	Normal	0.5
early	Normal	0.83
early	Normal	1.0
early	Normal	1.0
early	Change	0.67
early	Normal	1.0
early	Normal	0.67
early	Normal	1.0
early	Normal	1.0
early	Normal	0.86
early	Normal	1.0
early	Change	0.85
early	Normal	1.0
early	Normal	0.75
early	Normal	0.31
early	Normal	1.0
early	Normal	0.5
early	Normal	0.67
early	Normal	1.0
early	Normal	1.0
early	Normal	0.29
early	Normal	0.83
early	Normal	1.0
early	Normal	1.0
early	Change	1.0
early	Normal	0.25
early	Normal	0.42
early	Normal	0.6
early	Normal	0.35
early	Normal	0.5
early	Normal	1.0
early	Normal	0.21
early	Normal	0.21
early	Normal	1.0
early	Normal	0.62
early	Normal	0.76
early	Normal	0.5
early	Normal	1.0
early	Normal	0.56
early	Normal	0.5
early	Normal	0.55
early	Normal	0.33
early	Normal	0.5
early	Normal	0.6
early	Normal	0.5
early	Normal	0.5
early	Normal	0.7
early	Normal	0.67
early	Normal	0.17
early	Normal	1.0
early	Normal	0.86
early	Normal	1.0
early	Normal	0.5
early	Normal	1.0
early	Normal	0.25
early	Normal	0.51
early	Normal	1.0
early	Normal	1.0
early	Normal	0.71
early	Normal	1.0
early	Normal	0.75
early	Normal	1.0
early	Normal	1.0
early	Normal	0.98
early	Normal	1.0
early	Normal	0.83
early	Normal	0.39
early	Normal	0.49
early	Normal	0.5
early	Normal	0.75
early	Normal	0.5
early	Normal	1.0
early	Normal	0.67
early	Normal	0.76
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	0.75
early	Normal	0.86
early	Normal	0.55
early	Normal	0.42
early	Normal	0.49
early	Normal	1.0
early	Normal	0.87
early	Normal	1.0
early	Change	1.0
early	Normal	1.0
early	Normal	0.42
early	Normal	0.84
early	Normal	0.72
early	Normal	0.17
early	Normal	0.72
early	Normal	0.7
early	Normal	1.0
early	Normal	0.4
early	Normal	0.71
early	Normal	0.5
early	Normal	0.5
early	Normal	0.62
early	Normal	0.32
early	Normal	0.2
early	Normal	0.47
early	Normal	0.29
early	Normal	1.0
early	Normal	1.0
early	Normal	0.53
early	Normal	1.0
early	Normal	0.67
early	Change	0.58
early	Normal	1.0
early	Normal	0.76
early	Normal	1.0
early	Normal	0.82
early	Normal	0.89
early	Normal	0.35
early	Normal	1.0
early	Normal	1.0
early	Normal	0.6
early	Normal	0.75
early	Normal	0.53
early	Normal	0.83
early	Normal	0.62
early	Change	0.5
early	Normal	1.0
early	Normal	1.0
early	Normal	0.4
early	Normal	1.0
early	Normal	0.25
early	Normal	1.0
early	Normal	0.75
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Change	0.67
early	Normal	0.58
early	Normal	0.87
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	0.38
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	0.5
early	Normal	1.0
early	Normal	0.78
early	Normal	0.83
early	Normal	0.67
early	Normal	1.0
early	Normal	1.0
early	Normal	0.89
early	Normal	0.5
early	Normal	0.75
early	Normal	0.25
early	Normal	0.83
early	Normal	1.0
early	Normal	0.74
early	Normal	0.66
early	Normal	0.95
early	Normal	0.5
early	Normal	0.46
early	Normal	0.27
early	Normal	0.67
early	Normal	1.0
early	Normal	0.62
early	Normal	1.0
early	Normal	0.73
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	0.18
early	Normal	1.0
early	Normal	0.75
early	Normal	1.0
early	Normal	0.93
early	Normal	1.0
early	Normal	0.67
early	Normal	1.0
early	Normal	0.5
early	Normal	0.22
early	Normal	0.78
early	Normal	1.0
early	Normal	0.5
early	Normal	0.5
early	Normal	0.2
early	Normal	1.0
early	Change	0.75
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	0.56
early	Normal	0.83
early	Normal	0.92
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	0.91
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	0.25
early	Normal	0.75
early	Normal	0.25
early	Normal	1.0
early	Change	0.83
early	Normal	0.5
early	Normal	1.0
early	Normal	0.8
early	Change	0.25
early	Normal	1.0
early	Normal	1.0
early	Change	0.75
early	Normal	1.0
early	Normal	0.4
early	Change	1.0
early	Normal	0.56
early	Normal	1.0
early	Normal	0.34
early	Normal	0.67
early	Normal	1.0
early	Normal	0.53
early	Change	1.0
early	Normal	0.71
early	Change	1.0
early	Normal	0.75
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	0.38
early	Normal	1.0
early	Normal	1.0
early	Normal	1.0
early	Normal	0.5
early	Normal	0.58
early	Normal	1.0
2cell	Normal	1.0
2cell	Normal	0.86
2cell	Normal	0.42
2cell	Normal	0.27
2cell	Normal	1.0
2cell	Normal	0.5
2cell	Normal	0.5
2cell	Normal	0.43
2cell	Normal	1.0
2cell	Normal	0.67
2cell	Normal	0.67
2cell	Normal	0.75
2cell	Normal	0.25
2cell	Normal	0.78
2cell	Normal	0.67
2cell	Normal	1.0
2cell	Normal	1.0
2cell	Normal	0.83
2cell	Normal	1.0
2cell	Normal	0.67
2cell	Normal	0.33
2cell	Normal	0.67
2cell	Normal	1.0
2cell	Normal	0.11
2cell	Normal	0.67
2cell	Normal	0.85
2cell	Normal	0.53
2cell	Normal	0.7
2cell	Normal	0.67
2cell	Normal	0.88
2cell	Normal	0.83
2cell	Normal	0.33
2cell	Normal	0.4
2cell	Normal	0.29
2cell	Normal	1.0
2cell	Normal	0.25
2cell	Normal	1.0
2cell	Normal	0.82
2cell	Change	0.47
2cell	Normal	0.5
2cell	Normal	1.0
2cell	Normal	1.0
2cell	Change	0.54
2cell	Normal	0.21
2cell	Normal	0.85
2cell	Normal	1.0
2cell	Normal	1.0
2cell	Normal	0.67
2cell	Normal	0.5
2cell	Normal	0.7
2cell	Normal	1.0
2cell	Normal	0.53
2cell	Normal	0.48
2cell	Normal	0.67
2cell	Normal	1.0
2cell	Normal	0.17
2cell	Change	1.0
2cell	Normal	1.0
2cell	Normal	0.86
2cell	Normal	1.0
2cell	Normal	0.29
2cell	Normal	0.12
2cell	Normal	0.83
2cell	Normal	0.64
2cell	Normal	1.0
2cell	Normal	0.67
2cell	Change	0.75
2cell	Normal	0.29
2cell	Normal	0.86
2cell	Normal	1.0
2cell	Change	1.0
2cell	Normal	0.58
2cell	Normal	0.8
2cell	Normal	0.5
2cell	Normal	1.0
2cell	Normal	0.38
2cell	Normal	0.67
2cell	Normal	0.8
2cell	Change	0.33
2cell	Normal	0.85
2cell	Normal	0.67
2cell	Normal	0.67
2cell	Normal	1.0
2cell	Normal	0.3
2cell	Normal	1.0
2cell	Normal	0.4
2cell	Normal	1.0
2cell	Normal	1.0
2cell	Normal	0.33
2cell	Normal	0.88
2cell	Normal	0.8
2cell	Normal	1.0
2cell	Normal	1.0
2cell	Normal	1.0
2cell	Normal	0.74
2cell	Normal	0.42
2cell	Normal	1.0
2cell	Normal	0.92
2cell	Normal	0.67
2cell	Normal	1.0
2cell	Normal	1.0
2cell	Normal	0.75
2cell	Normal	1.0
2cell	Normal	0.61
2cell	Normal	0.29
2cell	Normal	0.41
2cell	Normal	0.79
2cell	Normal	1.0
2cell	Normal	0.5
2cell	Change	1.0
2cell	Normal	1.0
2cell	Normal	0.64
2cell	Normal	0.29
2cell	Normal	0.83
2cell	Normal	0.87
2cell	Normal	1.0
2cell	Normal	1.0
2cell	Normal	1.0
2cell	Normal	0.55
2cell	Normal	0.86
2cell	Normal	1.0
2cell	Normal	1.0
2cell	Normal	1.0
2cell	Change	0.28
2cell	Normal	0.5
2cell	Normal	0.49
2cell	Normal	1.0
2cell	Change	0.2
2cell	Normal	0.29
2cell	Normal	0.5
2cell	Normal	1.0
2cell	Normal	0.93
2cell	Normal	0.4
2cell	Normal	0.67
2cell	Normal	0.83
2cell	Normal	1.0
2cell	Normal	0.72
2cell	Normal	0.17
2cell	Normal	1.0
2cell	Normal	0.5
2cell	Normal	1.0
2cell	Normal	1.0
2cell	Normal	0.65
2cell	Normal	0.83
2cell	Normal	1.0
2cell	Normal	0.4
2cell	Normal	0.5
2cell	Normal	0.67
2cell	Normal	1.0
2cell	Normal	1.0
2cell	Normal	0.6
2cell	Normal	0.54
2cell	Normal	0.61
2cell	Normal	1.0
2cell	Normal	1.0
2cell	Normal	1.0
2cell	Normal	0.83
2cell	Normal	0.83
2cell	Normal	1.0
2cell	Normal	0.58
2cell	Normal	0.17
2cell	Normal	0.75
2cell	Normal	0.25
2cell	Normal	1.0
2cell	Normal	0.75
2cell	Normal	0.77
2cell	Change	0.32
2cell	Normal	0.25
2cell	Normal	0.25
2cell	Normal	1.0
2cell	Normal	1.0
2cell	Normal	1.0
2cell	Normal	0.81
2cell	Normal	0.5
2cell	Normal	0.3
2cell	Normal	1.0
2cell	Normal	0.58
2cell	Normal	0.75
2cell	Normal	1.0
2cell	Normal	0.82
2cell	Change	0.4
2cell	Normal	0.14
2cell	Normal	1.0
2cell	Normal	0.75
2cell	Normal	0.75
2cell	Normal	0.2
2cell	Normal	0.48
2cell	Normal	0.58
2cell	Normal	0.84
2cell	Normal	0.31
2cell	Normal	0.48
2cell	Normal	1.0
2cell	Normal	0.5
2cell	Normal	1.0
2cell	Normal	1.0
2cell	Normal	0.85
2cell	Normal	0.27
2cell	Normal	1.0
2cell	Normal	0.6
2cell	Normal	0.76
2cell	Normal	0.42
2cell	Normal	1.0
2cell	Normal	0.5
2cell	Normal	0.6
2cell	Normal	0.42
2cell	Normal	0.7
2cell	Normal	0.53
2cell	Normal	0.59
2cell	Normal	1.0
2cell	Normal	0.85
2cell	Normal	0.23
2cell	Normal	1.0
2cell	Normal	0.25
2cell	Normal	0.43
2cell	Normal	0.31
2cell	Normal	0.71
2cell	Normal	0.6
2cell	Normal	1.0
2cell	Normal	0.4
2cell	Normal	0.58
2cell	Change	0.25
2cell	Normal	0.84
2cell	Normal	0.64
2cell	Normal	1.0
2cell	Normal	0.12
2cell	Normal	1.0
2cell	Normal	0.73
2cell	Normal	0.4
2cell	Normal	0.5
2cell	Normal	1.0
2cell	Normal	1.0
2cell	Normal	0.26
2cell	Normal	0.48
2cell	Normal	0.27
2cell	Normal	0.67
2cell	Normal	0.82
2cell	Normal	1.0
2cell	Normal	0.85
2cell	Change	0.48
2cell	Normal	1.0
2cell	Normal	0.69
2cell	Normal	0.67
2cell	Normal	0.67
2cell	Normal	0.88
2cell	Normal	0.76
2cell	Normal	1.0
2cell	Normal	1.0
2cell	Normal	0.86
2cell	Normal	0.64
2cell	Normal	1.0
2cell	Normal	1.0
2cell	Normal	1.0
2cell	Normal	1.0
2cell	Normal	1.0
2cell	Normal	0.67
2cell	Normal	0.33
2cell	Normal	0.4
2cell	Normal	0.2
2cell	Normal	0.77
2cell	Normal	1.0
2cell	Normal	0.88
2cell	Normal	0.5
2cell	Normal	0.31
2cell	Normal	0.58
2cell	Normal	0.45
2cell	Normal	1.0
2cell	Normal	0.7
2cell	Normal	0.53
2cell	Normal	1.0
2cell	Normal	0.5
2cell	Normal	0.5
2cell	Normal	1.0
2cell	Normal	0.5
2cell	Normal	0.46
2cell	Normal	1.0
2cell	Normal	0.28
2cell	Normal	0.33
2cell	Normal	1.0
2cell	Normal	1.0
2cell	Normal	0.33
2cell	Normal	0.86
2cell	Normal	0.51
2cell	Normal	0.75
2cell	Normal	0.67
2cell	Normal	0.2
2cell	Normal	0.12
2cell	Normal	0.75
2cell	Normal	1.0
2cell	Normal	1.0
2cell	Normal	0.56
2cell	Normal	1.0
2cell	Normal	0.81
2cell	Normal	0.58
2cell	Normal	0.29
2cell	Normal	1.0
2cell	Change	0.29
2cell	Normal	0.83
2cell	Normal	0.29
2cell	Normal	0.71
2cell	Normal	0.33
2cell	Normal	0.5
2cell	Normal	0.44
2cell	Normal	0.43
2cell	Normal	0.79
2cell	Normal	0.25
2cell	Normal	1.0
2cell	Normal	0.75
2cell	Normal	0.66
2cell	Normal	1.0
2cell	Change	0.08
2cell	Normal	0.76
2cell	Normal	0.5
2cell	Normal	0.29
2cell	Normal	1.0
2cell	Normal	0.43
2cell	Normal	1.0
2cell	Normal	0.93
2cell	Normal	0.78
2cell	Normal	0.29
2cell	Normal	1.0
2cell	Normal	0.43
2cell	Change	0.27
2cell	Normal	1.0
2cell	Normal	0.67
2cell	Normal	0.73
2cell	Normal	0.5
2cell	Normal	0.86
2cell	Normal	0.75
2cell	Normal	0.67
2cell	Normal	1.0
2cell	Normal	1.0
2cell	Normal	0.86
2cell	Normal	1.0
2cell	Normal	0.67
2cell	Normal	0.83
2cell	Normal	1.0
2cell	Normal	0.17
2cell	Normal	0.24
2cell	Normal	1.0
2cell	Normal	1.0
2cell	Normal	1.0
2cell	Normal	0.57
2cell	Change	0.41
2cell	Normal	1.0
2cell	Normal	1.0
2cell	Normal	0.2
2cell	Normal	0.8
2cell	Normal	0.43
2cell	Normal	0.75
2cell	Normal	0.88
2cell	Normal	1.0
2cell	Normal	0.75
2cell	Normal	0.31
2cell	Normal	0.31
2cell	Normal	0.77
2cell	Normal	0.29
2cell	Normal	0.94
2cell	Normal	1.0
2cell	Change	0.71
2cell	Normal	0.81
2cell	Normal	0.77
2cell	Normal	1.0
2cell	Normal	1.0
2cell	Normal	1.0
2cell	Normal	0.45
2cell	Normal	0.25
2cell	Normal	1.0
2cell	Normal	0.5
2cell	Normal	1.0
2cell	Normal	0.81
2cell	Normal	1.0
2cell	Normal	1.0
2cell	Normal	0.83
2cell	Change	1.0
2cell	Normal	0.26
2cell	Normal	0.75
2cell	Normal	0.5
2cell	Normal	0.5
2cell	Normal	0.67
2cell	Normal	0.67
2cell	Normal	1.0
2cell	Normal	1.0
2cell	Normal	0.84
2cell	Normal	0.58
2cell	Normal	0.71
2cell	Normal	0.79
2cell	Normal	0.67
2cell	Normal	1.0
2cell	Normal	1.0
2cell	Normal	1.0
2cell	Normal	1.0
2cell	Normal	1.0
2cell	Normal	0.53
2cell	Change	0.67
2cell	Normal	1.0
2cell	Normal	0.79
2cell	Normal	1.0
2cell	Normal	0.85
2cell	Normal	1.0
2cell	Normal	0.5
2cell	Normal	1.0
2cell	Normal	0.7
2cell	Normal	0.81
2cell	Normal	1.0
2cell	Normal	1.0
2cell	Normal	1.0
2cell	Normal	1.0
2cell	Normal	1.0
2cell	Normal	0.5
2cell	Normal	0.83
2cell	Normal	0.83
2cell	Normal	1.0
2cell	Normal	0.45
2cell	Normal	1.0
2cell	Normal	0.41
2cell	Normal	0.51
2cell	Normal	0.5
2cell	Normal	0.25
2cell	Normal	0.79
2cell	Normal	0.67
2cell	Normal	0.7
2cell	Normal	1.0
2cell	Normal	0.58
2cell	Normal	0.33
2cell	Normal	1.0
2cell	Normal	0.39
2cell	Normal	0.83
2cell	Normal	1.0
2cell	Normal	0.5
2cell	Normal	1.0
2cell	Normal	0.4
2cell	Normal	0.4
2cell	Normal	1.0
2cell	Change	0.5
2cell	Normal	0.67
2cell	Normal	0.2
2cell	Normal	0.75
2cell	Normal	0.4
2cell	Normal	0.25
2cell	Normal	0.5
2cell	Normal	0.75
2cell	Change	0.67
2cell	Normal	0.7
2cell	Normal	1.0
2cell	Normal	0.67
2cell	Normal	0.56
2cell	Normal	0.88
2cell	Normal	0.77
2cell	Normal	0.67
2cell	Normal	0.67
2cell	Normal	0.83
2cell	Normal	1.0
2cell	Normal	1.0
2cell	Change	0.83
2cell	Normal	1.0
2cell	Normal	1.0
2cell	Normal	0.83
2cell	Normal	0.58
2cell	Normal	0.85
2cell	Normal	1.0
2cell	Normal	0.38
2cell	Normal	0.5
2cell	Normal	0.64
2cell	Normal	0.41
2cell	Normal	0.93
2cell	Normal	0.79
2cell	Normal	0.4
2cell	Normal	0.58
2cell	Normal	0.67
